,timestamp,t_room,rh_room,t_out,rh_out,t_offset,office_hour,ac_state,rh_offset,setpoint,tsp_setpoint,energy,tsp_offset
0,2024-05-01 10:00:00,23.58823529411765,54.0,32.68,70,4.98,No,On,16.0,22.0,1.5882352941176485,0.0018190768101383084,1.5882352941176485
1,2024-05-01 11:00:00,23.58823529411765,54.0,32.68,70,4.98,No,On,16.0,22.0,1.5882352941176485,0.0018190768101383084,1.5882352941176485
2,2024-05-01 12:00:00,23.623529411764707,54.0,32.68,70,4.879999999999999,No,On,16.0,22.0,1.6235294117647072,0.0018623538686507908,1.6235294117647072
3,2024-05-01 13:00:00,23.623529411764707,53.0,32.68,70,4.879999999999999,No,On,17.0,22.0,1.6235294117647072,0.0018597158530555692,1.6235294117647072
4,2024-05-01 14:00:00,23.58823529411765,54.0,32.68,70,4.98,No,On,16.0,22.0,1.5882352941176485,0.0018190768101383084,1.5882352941176485
5,2024-05-01 15:00:00,23.623529411764707,54.0,32.68,70,4.879999999999999,No,On,16.0,22.0,1.6235294117647072,0.0018623538686507908,1.6235294117647072
6,2024-05-01 16:00:00,23.658823529411766,54.0,32.68,70,4.780000000000001,No,On,16.0,22.0,1.658823529411766,0.0019057161254436242,1.658823529411766
7,2024-05-01 17:00:00,23.658823529411766,52.0,32.68,70,4.780000000000001,No,On,18.0,22.0,1.658823529411766,0.0019004346658652357,1.658823529411766
8,2024-05-01 18:00:00,23.658823529411766,52.0,32.68,70,4.780000000000001,No,On,18.0,22.0,1.658823529411766,0.0019004346658652357,1.658823529411766
9,2024-05-01 19:00:00,23.658823529411766,51.0,32.68,70,4.780000000000001,No,On,19.0,22.0,1.658823529411766,0.0018977939360760414,1.658823529411766
10,2024-05-01 20:00:00,23.658823529411766,51.0,32.68,70,9.021176470588234,No,On,19.0,27.0,1.658823529411766,0.0018927440978586674,-3.341176470588234
11,2024-05-01 21:00:00,24.27807923169268,51.0,32.68,70,8.40192076830732,No,On,19.0,27.0,1.658823529411766,0.00040951583650894463,-2.7219207683073208
12,2024-05-01 22:00:00,24.888280936498877,50.0,32.68,70,7.791719063501123,No,On,20.0,27.0,1.6235294117647072,0.0004069106944371015,-2.1117190635011234
13,2024-05-01 23:00:00,25.489561020278362,50.0,32.68,70,7.1904389797216375,No,On,20.0,27.0,1.658823529411766,0.00040678269579075277,-1.5104389797216378
14,2024-05-02 00:00:00,26.08204992403305,49.0,32.68,70,6.597950075966949,No,On,21.0,27.0,1.6235294117647072,0.0005580273573286831,-0.9179500759669494
15,2024-05-02 01:00:00,26.665876181616483,49.0,32.68,70,6.014123818383517,No,On,21.0,27.0,1.6235294117647072,0.0007167190196923912,-0.33412381838351735
16,2024-05-02 02:00:00,27.241166447617825,49.0,32.68,70,5.4388335523821745,No,On,21.0,27.0,1.5882352941176485,0.0006906081107445061,0.24116644761782524
