,actual,predicted
302,0.2644016393442623,0.2630421
303,0.26445901639344266,0.26454744
304,0.26451639344262295,0.26584777
305,0.2645737704918033,0.26676512
306,0.2646311475409836,0.2668695
307,0.26468852459016395,0.26697314
308,0.26474590163934425,0.26707572
309,0.2648032786885246,0.2671772
310,0.26486065573770495,0.26727757
311,0.26491803278688525,0.26737675
312,0.2649754098360656,0.26747534
313,0.2650327868852459,0.26757234
314,0.26509016393442625,0.26766872
315,0.26514754098360654,0.26776385
316,0.2652049180327869,0.2678579
317,0.26526229508196725,0.26795104
318,0.26531967213114754,0.26804286
319,0.2653770491803279,0.26813385
320,0.2654344262295082,0.26822394
321,0.26549180327868854,0.268313
322,0.26554918032786884,0.26840097
323,0.2656065573770492,0.2684877
324,0.26566393442622954,0.26857388
325,0.26572131147540984,0.268659
326,0.2657786885245902,0.26874253
327,0.2658360655737705,0.26882535
328,0.26589344262295084,0.26890722
329,0.2659508196721312,0.26898807
330,0.2660081967213115,0.26906806
331,0.26606557377049184,0.26914692
332,0.26612295081967213,0.2692248
333,0.2661803278688525,0.2693018
334,0.2662377049180328,0.26937768
335,0.26629508196721313,0.2694528
336,0.2663524590163935,0.26952708
337,0.2664098360655738,0.26960015
338,0.26646721311475413,0.26884514
339,0.2665245901639344,0.26798978
340,0.2665819672131148,0.2671333
341,0.2666393442622951,0.26627576
342,0.2666967213114754,0.26541778
343,0.2667540983606558,0.2645588
344,0.2668114754098361,0.26369867
345,0.2668688524590164,0.262838
346,0.2669262295081967,0.26197636
347,0.2669836065573771,0.26111388
348,0.26704098360655737,0.26025063
349,0.2670983606557377,0.2593862
350,0.2671557377049181,0.25852096
351,0.26721311475409837,0.2576557
352,0.2672704918032787,0.25678873
353,0.267327868852459,0.25592113
354,0.26738524590163937,0.255053
355,0.26744262295081966,0.25418365
356,0.2675,0.25331405
357,0.26755737704918037,0.25244305
358,0.26761475409836066,0.25043657
359,0.267672131147541,0.2481662
360,0.2677295081967213,0.24593572
361,0.26778688524590166,0.24381988
362,0.26784426229508196,0.24181812
363,0.2679016393442623,0.2399229
364,0.26795901639344266,0.23815542
365,0.26801639344262296,0.23660882
366,0.2680737704918033,0.23551928
367,0.2681311475409836,0.23541561
368,0.26818852459016396,0.23531115
369,0.26824590163934425,0.23520726
370,0.2683032786885246,0.23510334
371,0.26836065573770496,0.23499922
372,0.26841803278688525,0.23489524
373,0.2684754098360656,0.2347915
374,0.2685327868852459,0.23468743
375,0.26859016393442625,0.23458372
376,0.26864754098360655,0.23447989
377,0.2687049180327869,0.23437613
378,0.26876229508196725,0.23427221
379,0.26881967213114755,0.2341685
380,0.2688770491803279,0.2340649
381,0.2689344262295082,0.2339612
382,0.26899180327868855,0.23385794
383,0.26904918032786884,0.23375414
384,0.2691065573770492,0.23365104
385,0.26916393442622955,0.23354767
386,0.26922131147540984,0.23344426
387,0.2692786885245902,0.23334104
388,0.2693360655737705,0.23323768
389,0.26939344262295084,0.23313454
390,0.2694508196721312,0.23303124
391,0.2695081967213115,0.2329284
392,0.26956557377049184,0.2328253
393,0.26962295081967214,0.23272257
394,0.2696803278688525,0.23261984
395,0.2697377049180328,0.23251699
396,0.26979508196721314,0.23241451
397,0.2698524590163935,0.23231182
398,0.2699098360655738,0.23220931
399,0.26996721311475413,0.2321069
400,0.27002459016393443,0.23200445
401,0.2700819672131148,0.23190211
402,0.2701393442622951,0.2318001
403,0.27019672131147543,0.23169807
404,0.2702540983606558,0.2315961
405,0.2703114754098361,0.23149425
406,0.27036885245901643,0.23139274
407,0.2704262295081967,0.23103197
408,0.2704836065573771,0.23052394
409,0.2705409836065574,0.23001625
410,0.2705983606557377,0.22950871
411,0.2706557377049181,0.22900128
412,0.27071311475409837,0.22849403
413,0.2707704918032787,0.22798656
414,0.270827868852459,0.22747947
415,0.27088524590163937,0.2269724
416,0.27094262295081967,0.22646566
417,0.271,0.22595905
418,0.27105737704918037,0.22545259
419,0.27111475409836067,0.2257551
420,0.271172131147541,0.22624508
421,0.2712295081967213,0.22676133
422,0.27128688524590167,0.22727813
423,0.27134426229508196,0.22780067
424,0.2714016393442623,0.228372
425,0.27145901639344266,0.22916166
426,0.27151639344262296,0.22997884
427,0.2715737704918033,0.23075019
428,0.2716311475409836,0.23126423
429,0.27168852459016396,0.23177855
430,0.27174590163934426,0.23229288
431,0.2718032786885246,0.2328074
432,0.27186065573770496,0.23332219
433,0.27191803278688526,0.23383655
434,0.2719754098360656,0.2343511
435,0.2720327868852459,0.23486628
436,0.27209016393442625,0.23538084
437,0.27214754098360655,0.23589528
438,0.2722049180327869,0.23641057
439,0.27226229508196725,0.23692502
440,0.27231967213114755,0.23744045
441,0.2723770491803279,0.23795551
442,0.2724344262295082,0.23847088
443,0.27249180327868855,0.23898602
444,0.27254918032786885,0.23950127
445,0.2726065573770492,0.24001668
446,0.27266393442622955,0.24053234
447,0.27272131147540984,0.24104752
448,0.2727786885245902,0.2415636
449,0.2728360655737705,0.24207868
450,0.27289344262295084,0.24259464
451,0.2729508196721312,0.24311051
452,0.2730081967213115,0.24362603
453,0.27306557377049184,0.24414223
454,0.27312295081967214,0.24465843
455,0.2731803278688525,0.24517432
456,0.2732377049180328,0.24569069
457,0.27329508196721314,0.24620672
458,0.2733524590163935,0.24672303
459,0.2734098360655738,0.24723952
460,0.27346721311475414,0.24775614
461,0.27352459016393443,0.2482722
462,0.2735819672131148,0.2487886
463,0.2736393442622951,0.24930553
464,0.27369672131147543,0.24982229
465,0.2737540983606558,0.25033867
466,0.2738114754098361,0.2508558
467,0.27386885245901643,0.25137237
468,0.27392622950819673,0.25188965
469,0.2739836065573771,0.25240615
470,0.2740409836065574,0.25292334
471,0.2740983606557377,0.25344068
472,0.2741557377049181,0.2539579
473,0.2742131147540984,0.25447527
474,0.2742704918032787,0.25499272
