timestamp,t_room,rh_room,t_out,rh_out,setpoint
2024-06-01 01:14:00,22.861702127659573,57.0,32.68,70.0,22.0
2024-06-01 01:15:00,22.888066604995373,57.0,32.68,70.0,22.0
2024-06-01 01:16:00,22.911655874190565,57.0,32.68,70.0,22.0
2024-06-01 01:17:00,22.949121184088806,58.0,32.68,70.0,22.0
2024-06-01 01:18:00,22.98658649398705,58.0,32.68,70.0,22.0
2024-06-01 01:19:00,23.0254394079556,58.0,32.68,70.0,22.0
2024-06-01 01:20:00,23.064292321924142,58.0,32.68,70.0,22.0
2024-06-01 01:21:00,23.103145235892693,58.0,32.68,70.0,22.0
2024-06-01 01:22:00,23.140610545790935,58.0,32.68,70.0,22.0
2024-06-01 01:23:00,23.176688251618874,59.0,32.68,70.0,22.0
2024-06-01 01:24:00,23.211378353376507,59.0,32.68,70.0,22.0
2024-06-01 01:25:00,23.243293246993524,59.0,32.68,70.0,22.0
2024-06-01 01:26:00,23.27659574468085,58.0,32.68,70.0,22.0
2024-06-01 01:27:00,23.309898242368178,58.0,32.68,70.0,22.0
2024-06-01 01:28:00,23.345975948196116,58.0,32.68,70.0,22.0
2024-06-01 01:29:00,23.37927844588344,58.0,31.8,65.0,22.0
2024-06-01 01:30:00,23.409805735430158,59.0,31.8,65.0,22.0
2024-06-01 01:31:00,23.437557816836264,59.0,31.8,65.0,22.0
2024-06-01 01:32:00,23.463922294172065,59.0,31.8,65.0,22.0
2024-06-01 01:33:00,23.486123959296947,59.0,31.8,65.0,22.0
2024-06-01 01:34:00,23.506938020351527,59.0,31.8,65.0,22.0
2024-06-01 01:35:00,23.527752081406106,59.0,31.8,65.0,22.0
2024-06-01 01:36:00,23.54717853839038,59.0,31.8,65.0,22.0
2024-06-01 01:37:00,23.566604995374654,59.0,31.8,65.0,22.0
2024-06-01 01:38:00,23.58464384828862,59.0,31.8,65.0,22.0
2024-06-01 01:39:00,23.604070305272895,59.0,31.8,65.0,22.0
2024-06-01 01:40:00,23.62072155411656,59.0,31.8,65.0,22.0
2024-06-01 01:41:00,23.637372802960222,59.0,31.8,65.0,22.0
2024-06-01 01:42:00,23.65263644773358,59.0,31.8,65.0,22.0
2024-06-01 01:43:00,23.66651248843663,60.0,31.8,65.0,22.0
2024-06-01 01:44:00,23.67900092506938,60.0,31.8,65.0,22.0
2024-06-01 01:45:00,23.690101757631822,60.0,31.8,65.0,22.0
2024-06-01 01:46:00,23.701202590194264,60.0,31.8,65.0,22.0
2024-06-01 01:47:00,23.712303422756705,61.0,31.8,65.0,22.0
2024-06-01 01:48:00,23.72340425531915,61.0,31.8,65.0,22.0
2024-06-01 01:49:00,23.733117483811284,61.0,31.8,65.0,22.0
2024-06-01 01:50:00,23.74560592044403,62.0,31.8,65.0,22.0
2024-06-01 01:51:00,23.756706753006476,62.0,31.8,65.0,22.0
2024-06-01 01:52:00,23.767807585568917,62.0,31.8,65.0,22.0
2024-06-01 01:53:00,23.77890841813136,62.0,31.8,65.0,22.0
2024-06-01 01:54:00,23.790009250693803,63.0,31.8,65.0,22.0
2024-06-01 01:55:00,23.801110083256244,63.0,31.8,65.0,22.0
2024-06-01 01:56:00,23.810823311748383,63.0,31.8,65.0,22.0
2024-06-01 01:57:00,23.819148936170212,63.0,31.8,65.0,22.0
2024-06-01 01:58:00,23.827474560592044,63.0,31.8,65.0,22.0
2024-06-01 01:59:00,23.835800185013877,64.0,31.8,65.0,22.0
2024-06-01 02:00:00,23.844125809435706,64.0,31.8,65.0,22.0
2024-06-01 02:01:00,23.85245143385754,64.0,31.8,65.0,22.0
2024-06-01 02:02:00,23.86077705827937,63.0,31.8,65.0,22.0
2024-06-01 02:03:00,23.870490286771506,63.0,31.8,65.0,22.0
2024-06-01 02:04:00,23.87881591119334,63.0,31.8,65.0,22.0
2024-06-01 02:05:00,23.88714153561517,64.0,31.8,65.0,22.0
