Room Temparature,Room Humidity (%),Outside Temp,Outside Humid (%),T.Offset,H.Offset,Set Temperature ,Volt,Amp,Energy,Target,Com_Target,Hum_Target,Volt_Target,Amp_Target
29.85562691,73.617737,34.16957187,75.95565749,,,24,225.588625,0.406875,6.45625,6.4625,29.89875229,73.7412844,225.58625,0.39875
29.89875229,73.7412844,34.10948624,75.34678899,,,24,225.58625,0.39875,6.4625,6.46875,29.94187768,73.8648318,225.583875,0.390625
29.94187768,73.8648318,34.04940061,74.73792049,,,24,225.583875,0.390625,6.46875,6.475,29.98500306,73.9883792,225.5815,0.3825
29.98500306,73.9883792,33.98931498,74.12905199,,,24,225.5815,0.3825,6.475,6.48125,30.02812844,74.11192661,225.579125,0.374375
30.02812844,74.11192661,33.92922936,73.52018349,,,24,225.579125,0.374375,6.48125,6.4875,30.07125382,74.23547401,225.57675,0.36625
30.07125382,74.23547401,33.86914373,72.91131498,3.797889908,-1.324159021,24,225.57675,0.36625,6.4875,6.49375,30.12215385,74.17230769,225.574375,0.358125
30.12215385,74.17230769,34.99,70,4.867846154,-4.172307692,24,225.574375,0.358125,6.49375,6.5,29.886875,66.109375,225.572,0.35
29.886875,66.109375,36.166875,66.6375,6.28,0.528125,24,225.572,0.35,6.5,6.5,29.66645768,51.97492163,226.0464,0.352
29.66645768,51.97492163,36.39,66,6.72354232,14.02507837,24,226.0464,0.352,6.5,6.5,29.52735849,48.09119497,226.5208,0.354
29.52735849,48.09119497,37.42773585,62.67924528,7.900377358,14.58805031,24,226.5208,0.354,6.5,6.5,29.4507837,49.23197492,226.9952,0.356
29.4507837,49.23197492,37.12351097,57.76175549,7.672727273,8.529780564,24,226.9952,0.356,6.5,6.5,29.595,61.959375,227.4696,0.358
29.595,61.959375,38.801875,52.5625,9.206875,-9.396875,24,227.4696,0.358,6.5,6.5,28.96925466,68.00931677,227.944,0.36
28.96925466,68.00931677,39.04,52,10.07074534,-16.00931677,24,227.944,0.36,6.5,6.710526316,26.74113924,62.5221519,228.1130263,0.723157895
26.74113924,62.5221519,38.80689873,52.55063291,12.06575949,-9.971518987,23.84210526,228.1130263,0.723157895,6.710526316,6.921052632,25.755,58.15625,228.2820526,1.086315789
25.755,58.15625,37.77,55,12.015,-3.15625,23.68421053,228.2820526,1.086315789,6.921052632,7.131578947,25.66018809,56.18808777,228.4510789,1.449473684
25.66018809,56.18808777,38.14278997,58.79623824,12.48260188,2.60815047,23.52631579,228.4510789,1.449473684,7.131578947,7.342105263,26.30340557,61.80495356,228.6201053,1.812631579
26.30340557,61.80495356,37.24139319,63.2755418,10.93798762,1.470588235,23.36842105,228.6201053,1.812631579,7.342105263,7.552631579,28.02689873,74.20253165,228.7891316,2.175789474
28.02689873,74.20253165,35.74851266,66,7.721613924,-8.202531646,23.21052632,228.7891316,2.175789474,7.552631579,7.763157895,28.62634921,77.06984127,228.9581579,2.538947368
28.62634921,77.06984127,34.06,66,5.433650794,-11.06984127,23.05263158,228.9581579,2.538947368,7.763157895,7.973684211,28.9,77,229.1271842,2.902105263
28.9,77,34.06,66,5.16,-11,22.89473684,229.1271842,2.902105263,7.973684211,8.184210526,29.01282609,77.09378882,229.2962105,3.265263158
29.01282609,77.09378882,33.90599068,67.7,,,22.73684211,229.2962105,3.265263158,8.184210526,8.394736842,29.12565217,77.18757764,229.4652368,3.628421053
29.12565217,77.18757764,33.75198137,69.4,,,22.57894737,229.4652368,3.628421053,8.394736842,8.605263158,29.23847826,77.28136646,229.6342632,3.991578947
29.23847826,77.28136646,33.59797205,71.1,,,22.42105263,229.6342632,3.991578947,8.605263158,8.815789474,29.35130435,77.37515528,229.8032895,4.354736842
29.35130435,77.37515528,33.44396273,72.8,,,22.26315789,229.8032895,4.354736842,8.815789474,9.026315789,29.46413043,77.4689441,229.9723158,4.717894737
29.46413043,77.4689441,33.28995342,74.5,,,22.10526316,229.9723158,4.717894737,9.026315789,9.236842105,29.57695652,77.56273292,230.1413421,5.081052632
29.57695652,77.56273292,33.1359441,76.2,,,21.94736842,230.1413421,5.081052632,9.236842105,9.447368421,29.68978261,77.65652174,230.3103684,5.444210526
29.68978261,77.65652174,32.98193478,77.9,,,21.78947368,230.3103684,5.444210526,9.447368421,9.657894737,29.8026087,77.75031056,230.4793947,5.807368421
29.8026087,77.75031056,32.82792547,79.6,,,21.63157895,230.4793947,5.807368421,9.657894737,9.868421053,29.91543478,77.84409938,230.6484211,6.170526316
29.91543478,77.84409938,32.67391615,81.3,,,21.47368421,230.6484211,6.170526316,9.868421053,10.07894737,30.02826087,77.9378882,230.8174474,6.533684211
30.02826087,77.9378882,32.51990683,83,2.491645963,5.062111801,21.31578947,230.8174474,6.533684211,10.07894737,10.28947368,30.10625,77.915625,230.9864737,6.896842105
30.10625,77.915625,34.655375,82.234375,4.549125,4.31875,21.15789474,230.9864737,6.896842105,10.28947368,10.5,30.20654206,78,231.1555,7.26
30.20654206,78,36.76869159,79,6.562149533,1,21,231.1555,7.26,10.5,11.7,27.48025078,57.32288401,222.119,6.59
27.48025078,57.32288401,38.74874608,74.57053292,11.2684953,17.2476489,21,222.119,6.59,11.7,13.2,25.39563636,45.24363636,222.1925,4.585
25.39563636,45.24363636,41.35712727,67.12,15.96149091,21.87636364,21,222.1925,4.585,13.2,14.7,24.53464567,50.20472441,222.266,2.58
24.53464567,50.20472441,40.77537255,62.84705882,16.24385827,12.62992126,21,222.266,2.58,14.7,14.86153846,24.4368254,56.74285714,222.3729231,2.659557692
24.4368254,56.74285714,40.72285714,60.95238095,16.28603175,4.20952381,20.98076923,222.3729231,2.659557692,14.86153846,15.02307692,24.17886435,59.45425868,222.4798462,2.739115385
24.17886435,59.45425868,39.98,62,15.80113565,2.545741325,20.96153846,222.4798462,2.739115385,15.02307692,15.18461538,24.20063091,60.0977918,222.5867692,2.818673077
24.20063091,60.0977918,38.74201893,57.97791798,14.54138801,-2.119873817,20.94230769,222.5867692,2.818673077,15.18461538,15.34615385,24.00684932,56.06849315,222.6936923,2.898230769
24.00684932,56.06849315,37.39099315,55,13.38414384,-1.068493151,20.92307692,222.6936923,2.898230769,15.34615385,15.50769231,24.02159273,56.17646603,222.8006154,2.977788462
24.02159273,56.17646603,37.33358688,55.40950469,,,20.90384615,222.8006154,2.977788462,15.50769231,15.66923077,24.03633615,56.28443891,222.9075385,3.057346154
24.03633615,56.28443891,37.2761806,55.81900937,,,20.88461538,222.9075385,3.057346154,15.66923077,15.83076923,24.05107956,56.39241179,223.0144615,3.136903846
24.05107956,56.39241179,37.21877433,56.22851406,,,20.86538462,223.0144615,3.136903846,15.83076923,15.99230769,24.06582298,56.50038467,223.1213846,3.216461538
24.06582298,56.50038467,37.16136806,56.63801874,,,20.84615385,223.1213846,3.216461538,15.99230769,16.15384615,24.08056639,56.60835755,223.2283077,3.296019231
24.08056639,56.60835755,37.10396178,57.04752343,,,20.82692308,223.2283077,3.296019231,16.15384615,16.31538462,24.09530981,56.71633043,223.3352308,3.375576923
24.09530981,56.71633043,37.04655551,57.45702811,,,20.80769231,223.3352308,3.375576923,16.31538462,16.47692308,24.11005323,56.82430331,223.4421538,3.455134615
24.11005323,56.82430331,36.98914924,57.8665328,,,20.78846154,223.4421538,3.455134615,16.47692308,16.63846154,24.12479664,56.93227619,223.5490769,3.534692308
24.12479664,56.93227619,36.93174296,58.27603748,,,20.76923077,223.5490769,3.534692308,16.63846154,16.8,24.13954006,57.04024907,223.656,3.61425
24.13954006,57.04024907,36.87433669,58.68554217,,,20.75,223.656,3.61425,16.8,16.96153846,24.15428347,57.14822195,223.7629231,3.693807692
24.15428347,57.14822195,36.81693042,59.09504685,,,20.73076923,223.7629231,3.693807692,16.96153846,17.12307692,24.16902689,57.25619482,223.8698462,3.773365385
24.16902689,57.25619482,36.75952414,59.50455154,,,20.71153846,223.8698462,3.773365385,17.12307692,17.28461538,24.18377031,57.3641677,223.9767692,3.852923077
24.18377031,57.3641677,36.70211787,59.91405622,,,20.69230769,223.9767692,3.852923077,17.28461538,17.44615385,24.19851372,57.47214058,224.0836923,3.932480769
24.19851372,57.47214058,36.6447116,60.32356091,,,20.67307692,224.0836923,3.932480769,17.44615385,17.60769231,24.21325714,57.58011346,224.1906154,4.012038462
24.21325714,57.58011346,36.58730532,60.7330656,,,20.65384615,224.1906154,4.012038462,17.60769231,17.76923077,24.22800055,57.68808634,224.2975385,4.091596154
24.22800055,57.68808634,36.52989905,61.14257028,,,20.63461538,224.2975385,4.091596154,17.76923077,17.93076923,24.24274397,57.79605922,224.4044615,4.171153846
24.24274397,57.79605922,36.47249277,61.55207497,,,20.61538462,224.4044615,4.171153846,17.93076923,18.09230769,24.25748739,57.9040321,224.5113846,4.250711538
24.25748739,57.9040321,36.4150865,61.96157965,,,20.59615385,224.5113846,4.250711538,18.09230769,18.25384615,24.2722308,58.01200498,224.6183077,4.330269231
24.2722308,58.01200498,36.35768023,62.37108434,,,20.57692308,224.6183077,4.330269231,18.25384615,18.41538462,24.28697422,58.11997786,224.7252308,4.409826923
24.28697422,58.11997786,36.30027395,62.78058902,,,20.55769231,224.7252308,4.409826923,18.41538462,18.57692308,24.30171763,58.22795074,224.8321538,4.489384615
24.30171763,58.22795074,36.24286768,63.19009371,,,20.53846154,224.8321538,4.489384615,18.57692308,18.73846154,24.31646105,58.33592362,224.9390769,4.568942308
24.31646105,58.33592362,36.18546141,63.59959839,,,20.51923077,224.9390769,4.568942308,18.73846154,18.9,24.33120446,58.4438965,225.046,4.6485
24.33120446,58.4438965,36.12805513,64.00910308,,,20.5,225.046,4.6485,18.9,19.06153846,24.34594788,58.55186938,225.1529231,4.728057692
24.34594788,58.55186938,36.07064886,64.41860776,,,20.48076923,225.1529231,4.728057692,19.06153846,19.22307692,24.3606913,58.65984226,225.2598462,4.807615385
24.3606913,58.65984226,36.01324259,64.82811245,,,20.46153846,225.2598462,4.807615385,19.22307692,19.38461538,24.37543471,58.76781514,225.3667692,4.887173077
24.37543471,58.76781514,35.95583631,65.23761714,,,20.44230769,225.3667692,4.887173077,19.38461538,19.54615385,24.39017813,58.87578802,225.4736923,4.966730769
24.39017813,58.87578802,35.89843004,65.64712182,,,20.42307692,225.4736923,4.966730769,19.54615385,19.70769231,24.40492154,58.9837609,225.5806154,5.046288462
24.40492154,58.9837609,35.84102377,66.05662651,,,20.40384615,225.5806154,5.046288462,19.70769231,19.86923077,24.41966496,59.09173378,225.6875385,5.125846154
24.41966496,59.09173378,35.78361749,66.46613119,,,20.38461538,225.6875385,5.125846154,19.86923077,20.03076923,24.43440838,59.19970666,225.7944615,5.205403846
24.43440838,59.19970666,35.72621122,66.87563588,,,20.36538462,225.7944615,5.205403846,20.03076923,20.19230769,24.44915179,59.30767954,225.9013846,5.284961538
24.44915179,59.30767954,35.66880495,67.28514056,,,20.34615385,225.9013846,5.284961538,20.19230769,20.35384615,24.46389521,59.41565241,226.0083077,5.364519231
24.46389521,59.41565241,35.61139867,67.69464525,,,20.32692308,226.0083077,5.364519231,20.35384615,20.51538462,24.47863862,59.52362529,226.1152308,5.444076923
24.47863862,59.52362529,35.5539924,68.10414993,,,20.30769231,226.1152308,5.444076923,20.51538462,20.67692308,24.49338204,59.63159817,226.2221538,5.523634615
24.49338204,59.63159817,35.49658613,68.51365462,,,20.28846154,226.2221538,5.523634615,20.67692308,20.83846154,24.50812546,59.73957105,226.3290769,5.603192308
24.50812546,59.73957105,35.43917985,68.9231593,,,20.26923077,226.3290769,5.603192308,20.83846154,21,24.52286887,59.84754393,226.436,5.68275
24.52286887,59.84754393,35.38177358,69.33266399,,,20.25,226.436,5.68275,21,21.16153846,24.53761229,59.95551681,226.5429231,5.762307692
24.53761229,59.95551681,35.3243673,69.74216867,,,20.23076923,226.5429231,5.762307692,21.16153846,21.32307692,24.5523557,60.06348969,226.6498462,5.841865385
24.5523557,60.06348969,35.26696103,70.15167336,,,20.21153846,226.6498462,5.841865385,21.32307692,21.48461538,24.56709912,60.17146257,226.7567692,5.921423077
24.56709912,60.17146257,35.20955476,70.56117805,,,20.19230769,226.7567692,5.921423077,21.48461538,21.64615385,24.58184253,60.27943545,226.8636923,6.000980769
24.58184253,60.27943545,35.15214848,70.97068273,,,20.17307692,226.8636923,6.000980769,21.64615385,21.80769231,24.59658595,60.38740833,226.9706154,6.080538462
24.59658595,60.38740833,35.09474221,71.38018742,,,20.15384615,226.9706154,6.080538462,21.80769231,21.96923077,24.61132937,60.49538121,227.0775385,6.160096154
24.61132937,60.49538121,35.03733594,71.7896921,,,20.13461538,227.0775385,6.160096154,21.96923077,22.13076923,24.62607278,60.60335409,227.1844615,6.239653846
24.62607278,60.60335409,34.97992966,72.19919679,,,20.11538462,227.1844615,6.239653846,22.13076923,22.29230769,24.6408162,60.71132697,227.2913846,6.319211538
24.6408162,60.71132697,34.92252339,72.60870147,,,20.09615385,227.2913846,6.319211538,22.29230769,22.45384615,24.65555961,60.81929985,227.3983077,6.398769231
24.65555961,60.81929985,34.86511712,73.01820616,,,20.07692308,227.3983077,6.398769231,22.45384615,22.61538462,24.67030303,60.92727273,227.5052308,6.478326923
24.67030303,60.92727273,34.80771084,73.42771084,10.08569697,12.69090909,20.05769231,227.5052308,6.478326923,22.61538462,22.77692308,26.98307692,59.87076923,227.6121538,6.557884615
26.98307692,59.87076923,30.58,89,3.596923077,29.12923077,20.03846154,227.6121538,6.557884615,22.77692308,22.93846154,28.66915888,57.95950156,227.7190769,6.637442308
28.66915888,57.95950156,31.86551402,82.74766355,3.19635514,24.78816199,20.01923077,227.7190769,6.637442308,22.93846154,23.1,28.19534161,55.39130435,227.826,6.717
28.19534161,55.39130435,31.75,78,3.554658385,22.60869565,20,227.826,6.717,23.1,23.22941176,25.49009288,48.26315789,227.5455882,6.675117647
25.49009288,48.26315789,31.75619195,78,6.266099071,29.73684211,20,227.5455882,6.675117647,23.22941176,23.35882353,26.35849057,64.61949686,227.2651765,6.633235294
26.35849057,64.61949686,32.33805031,76.6163522,5.979559748,11.99685535,20,227.2651765,6.633235294,23.35882353,23.48823529,28.16563467,72.2755418,226.9847647,6.591352941
28.16563467,72.2755418,33.45,74,5.284365325,1.724458204,20,226.9847647,6.591352941,23.48823529,23.61764706,28.77795031,74.79813665,226.7043529,6.549470588
28.77795031,74.79813665,33.45,74,4.672049689,-0.798136646,20,226.7043529,6.549470588,23.61764706,23.74705882,28.92,76,226.4239412,6.507588235
28.92,76,33.45,74,4.53,-2,20,226.4239412,6.507588235,23.74705882,23.87647059,29.02479012,75.98271605,226.1435294,6.465705882
29.02479012,75.98271605,33.41012346,74.09382716,,,20,226.1435294,6.465705882,23.87647059,24.00588235,29.12958025,75.9654321,225.8631176,6.423823529
29.12958025,75.9654321,33.37024691,74.18765432,,,20,225.8631176,6.423823529,24.00588235,24.13529412,29.23437037,75.94814815,225.5827059,6.381941176
